Name,Category
Criminal homicide,Violent crime
Rape,Violent crime
Robbery,Violent crime
Aggravated assault,Violent crime
Burglary (breaking or entering),Property crime
Larceny-theft (except motor vehicle theft),Property crime
Motor vehicle theft,Property crime
Arson,Property crime
